"Session Wednesday 30 September 2026 - 09:00-11:00 - Area 3 - Oral 3 - Multimodal Emotion Recognition","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","Bio ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Poster","2839","09:00-11:00","LavaSR: Fast and Flexible Audio Bandwidth Extension via Vocos","Yatharth Sharma","We propose a Vocos-based bandwidth extension model that enhances audio at 8–48 kHz by generating missing high-frequency content. Inputs are resampled to 48 kHz and processed by a neural vocoder backbone, enabling a single network to support arbitrary upsampling ratios. A lightweight Linkwitz-Riley-inspired refiner merges the original low band with the generated high frequencies via a smooth crossover. On validation, the model achieves competitive log-spectral distance while running at a real-time factor of 0.0001 on an NVIDIA A100 GPU and 0.0053 on an 8-core CPU, demonstrating practical, high-quality BWE at extreme throughput.","Yatharth Sharma(New York)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 7 - Poster 7 - Emotional Speech Synthesis","","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1655","09:00-11:00","Adaptive Oscillatory Inductive Bias for Modeling Sharp Prosodic Dynamics in Diffusion-Based TTS","Nirmesh J. Shah","Diffusion-based text-to-speech (TTS) models have achieved significant improvements in speech quality. However, modeling sharp prosodic transitions and rapid pitch variations in expressive speech remains challenging. Existing diffusion-based TTS decoders commonly utilize periodic nonlinearities such as Snake activation function to capture harmonic structures, but this activation funcation provides limited adaptability when modeling abrupt amplitude and frequency variations. In this paper, we investigate the role of oscillatory inductive bias in diffusion-based TTS decoders and introduce an adaptive oscillatory nonlinearity that enables controllable periodic modulation while maintaining signal stability through a linear bypass component. We refer the resulting TTS system as OscillaTTS. Experiments on the LJSpeech and Emotional Speech Dataset show consistent improvements across objective and subjective evaluations, indicating improved modeling of expressive prosodic dynamics.","Sandipan Dhar(Sony Research India); Nirmesh J. Shah(Sony Research India); Ashishkumar P. Gudmalwar(Sony Research India); Pankaj Wasnik(Sony Research India)","","","","","","","","","","","","","","","","","","","",""
"Poster","3079","09:00-11:00","Word-level Emotional Intensity Control in TTS via Emotion Residual Vectors","Ji-Hyun Park","Modern emotional text-to-speech (TTS) models typically rely on utterance-level conditioning. However, natural emotional speech requires fine-grained variations across words to achieve nuanced, human-like expressiveness. To address this, we introduce emotion residual vectors (ERVs), which capture neutral-to-emotional deviations in word-aligned self-supervised speech embeddings as an annotation-free cue for local prosody. To stabilize intensity control, we compress ERVs into a low-dimensional bottleneck space and train a RoBERTa-based predictor to infer the projected vectors from text and emotion. During inference, the predicted vectors are converted into additive hidden-state offsets and injected into a neutral-conditioned TTS model, enabling continuous word-level intensity control. Experimental results show that our method improves local emotional controllability while preserving naturalness compared to controllable emotional TTS baselines.","Ji-Hyun Park(Hanyang University); Nam-Seok Song(Hanyang University); Joon-Hyuk Chang(Hanyang University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1798","09:00-11:00","Continuous Time-Varying Emotion Control Zero-Shot Text-To-Speech With Emotion Orthogonal LoRA","Chenchen Wan","High-quality emotional text-to-speech (TTS) often depends on large scale corpora and coarse discrete emotion labels, which limits fine-grained and time-varying control in practice. We address this by integrating continuous Valence, Arousal, and Dominance (VAD) control into a pretrained model via low-rank updates inserted into the backbone transformations. Our Emotion Orthogonal LoRA (EO-LoRA) uses three separate low-rank branches aligned to valence, arousal, and dominance, and an orthogonality regularizer encourages the branches to capture distinct effects. We further introduce Flow-DGPO, a reinforcement learning alignment stage for flow matching TTS that improves emotion controllability while preserving intelligibility and speaker similarity. Experiments show that our method improves continuous and time-varying emotion control while maintaining synthesis quality with limited training data.","Chenchen Wan(Shanghai Jiao Tong University); Minchuan Chen(Ping An Technology); Yan Shi(Ping An Technology); Peng Qi(Shanghai Jiao Tong University Chongqing Artificial Intelligence Research Institute); Shaojun Wang(Ping An Technology); Jing Xiao(Ping An Technology)","","","","","","","","","","","","","","","","","","","",""
"Poster","3088","09:00-11:00","ETC-TTS: Emotion Trajectory Learning for Controllable Emotional Text-to-Speech","Gaeun Kim","Emotional text-to-speech (TTS) systems have achieved high speech quality, yet controllable emotion intensity modeling remains challenging. Existing approaches control emotion embeddings via scaling or interpolation at inference time, so intermediate emotional states are not explicitly learned. To address this limitation, we propose Emotion Trajectory learning for Controllable emotional TTS (ETC-TTS), a framework that models emotion intensity as continuous trajectories in latent style space. A residual vector quantization (RVQ)-based style extractor provides emotion-aware representations, and a flow-matching objective learns trajectories between neutral and target emotions. Unlike prior methods, ETC-TTS learns emotion transitions during training, enabling stable intensity control. Experiments on Korean and English datasets show improved controllability while preserving speech quality. Subjective and objective evaluations confirm more stable emotional expressions than baseline methods.","Gaeun Kim(Hanyang University); Jaeuk Lee(Hanyang University); Joon-Hyuk Chang(Hanyang University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1696","09:00-11:00","Beyond One-Size-Fits-All: Personalized and Culturally Adaptive Emotional TTS via Interactive Optimization of Individual Emotion Perception Spaces","Wangzixi Zhou","The rise of conversational AI has increased interest in emotional Text-to-Speech (TTS). Most systems rely on discrete emotion labels, which fail to capture the nuanced nature of human affect. Recent models employ dimensional representations such as Russell's arousal-valence (A-V) model, offering finer control. However, emotional perception varies across individuals and cultures, which may cause mismatches between modeled and perceived emotions. We propose a personalized and culturally adaptive emotional TTS framework that performs interactive optimization of individualized A-V perception spaces using an Interactive Genetic Algorithm. By adapting emotion representations to each listener, the system produces speech with more perceptually aligned emotional expression than models using averaged A-V values. Evaluations with Japanese, Chinese, and Indonesian participants highlight the importance of personalization and cultural adaptation for moving beyond one-size-fits-all emotional TTS.","Wangzixi Zhou(Nara Institute of Science and Technology); Bagus Tris Atmaja(Nara Institute of Science and Technology); Sakriani Sakti(Nara Institute of Science and Technology)","","","","","","","","","","","","","","","","","","","",""
"Poster","1986","09:00-11:00","Cross-modal Consistency Guidance for Robust Emotion Control in Auto-Regressive TTS Models","Yizhou Peng","While Text-to-Speech (TTS) systems enable emotional control via natural-language instructions, expressiveness, naturalness, and speech quality degrade when the target emotion conflicts with the textual semantics. We propose a Cross-modal Consistency Guided Classifier-Free Guidance (CCG-CFG) method with dynamic scales based on the degree of inconsistency between the text emotion and the explicit speech emotion, replacing the dropout condition with the text emotion. We also distill the CCG-CFG guidance signal using a hard-sample mining strategy, improving the TTS model's emotional alignment capability. Evaluations on five emotional corpora and two TTS benchmarks show that our approaches applied to CosyVoice2 achieve up to a 12% absolute improvement in emotion-recognition accuracy and a 10% relative improvement in subjective scores, outperforming baselines including HierSpeech++, Qwen3-TTS, and the original CosyVoice2, while preserving intelligibility, naturalness, and high speech quality.","Yizhou Peng(Nanyang Technological University); Yukun Ma(Alibaba); Chong Zhang(Alibaba); Yi-Wen Chao(Nanyang Technological University); Chongjia Ni(Alibaba); Bin Ma(Alibaba); Eng Siong Chng(Nanyang Technological University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1521","09:00-11:00","A Large-Scale Dataset of Listener Impressions of Emotional TTS","Erica Cooper","We present the first large-scale dataset for speech quality assessment of emotional synthesized speech. The dataset consists of 18,208 speech samples in five emotional styles from 13 state-of-the-art synthesis systems and natural emotional speech, along with ratings from 262 listeners for quality and several aspects of emotional content, including perceived emotional categories, how well the speech matches the target emotion, valence, arousal, and dominance. Analyses of the ratings show the relationships between the different types of ratings, and experiments using pretrained emotion recognizers, speech quality predictors, and LLM-as-judge prediction approaches reveal reasonable correlations with human ratings in some cases, with room for improvement and varying results observed depending on the emotion category. This dataset will be made public to the research community as a resource for the developing automatic speech quality assessment models for emotional synthesized speech.","Erica Cooper(National Institute of Information and Communications Technology); Xiaoxue Gao(A*STAR); Takuma Okamoto(National Institute of Information and Communications Technology); Tomoki Toda(Nagoya University; National Institute of Information and Communications Technology); Nancy Chen(A*STAR); Hisashi Kawai(National Institute of Information and Communications Technology)","","","","","","","","","","","","","","","","","","","",""
"Poster","2927","09:00-11:00","DECRA: Dynamic Emotion Control for Real-time Speech Anonymization","Ghady Nasrallah","Real-time speaker anonymization requires neutralizing or controlling emotional states with causal, low-latency synthesis to prevent leakage of sensitive paralinguistic information. However, most expressive VC systems operate offline and rely on global style conditioning, which limits real-time use and dynamic emotion control. In addition, speaker representations commonly used for VC entangle speaker identity with emotional attributes, making emotion control weaker and less reliable. We propose DECRA1, a real-time streaming VC system that performs closed-loop, time-varying prosody control. It conditions synthesis on continuous valence–arousal (VA) trajectories predicted online by a causal speech emotion recognition (SER) model, while disentangling speaker identity from emotion. The resulting system is streamable end-to-end, with &lt;80 ms GPU latency. Experiments show improved VA-space emotion steering over SOTA baselines and demonstrate dynamic, time-varying emotion control.","Ghady Nasrallah(Texas A&M University); Waris Quamer(Texas A&M University); Mu-Ruei Tseng(Texas A&M University); Ricardo Gutierrez-Osuna(Texas A&M University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1613","09:00-11:00","Emo-BPO: Emotion Bidirectional Preference Optimization for Diffusion-based Emotional TTS","Jiacheng Shi","Diffusion-based TTS has demonstrated strong capability in emotional speech generation. However, existing emotion alignment methods primarily reinforce target emotional expressions while overlooking modeling of competing emotional modes, limiting fine-grained controllability. This issue becomes more pronounced under classifier-free guidance (CFG), which relies on contrasting conditional trajectories to shape generation. We propose Emotion Bidirectional Preference Optimization (Emo-BPO), a simple effective framework that jointly learns emotion-aligned and emotion-contrastive score functions from reordered same-text emotional pairs. Our method requires neither auxiliary reward models nor additional annotations, and can be seamlessly integrated into existing diffusion-based TTS systems to improve emotional controllability and expressiveness.","Jiacheng Shi(William & Mary); Hongfei Du(William & Mary); Xinyuan Song(Emory University); Y. Alicia Hong(George Mason University); Yanfu Zhang(William & Mary); Ye Gao(William & Mary)","","","","","","","","","","","","","","","","","","","",""
"Poster","1627","09:00-11:00","DeSRPA: Decoupled Speech Role-Playing Agent via Inference-Time Intervention","Wenqiu Tang","While Large Language Models (LLMs) have revolutionized text-based role-playing, creating immersive Speech Role-Playing Agents (SRPAs) requires a seamless bridge between cognitive reasoning and paralinguistic nuances. Current SRPAs primarily rely on End-to-End (E2E) fine-tuning. However, this paradigm suffers from poor generalization to unseen characters due to its reliance on role-specific data, while imposing a “modality alignment tax” that degrades intrinsic LLM reasoning capabilities. We propose DeSRPA, an agentic framework for character role play via inference-time intervention on frozen backbones. It employs a dual-level Control Vector (CV) mechanism Internal Cognitive Steering and External Expressive Rendering to synchronize “mind” and “voice”. Experiments on SpeechRole and OmniCharacter benchmarks demonstrate that DeSRPA significantly outperforms E2E baselines in personality and emotional consistency. It achieves high speech naturalness, narrowing the gap with proprietary models like GPT-4o Audio, while remaining a scalable and training-free paradigm.","Wenqiu Tang(Nagoya University); Zhen Wan(National Institute of Informatics); Takahiro Komamizu(Nagoya University); Ichiro Ide(Nagoya University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1834","09:00-11:00","EmoInstruct-TTS: Dual-Path Instruction-Guided Emotional Speech Synthesis","Ganjun Liu","Instruction-based controllable speech synthesis enables users to specify emotions through natural language. However, existing approaches often rely on coarse emotion labels and lack explicit modeling of fine-grained intensity. We propose EmoInstruct-TTS, a dual-path instruction-guided framework for emotional speech synthesis. We introduce Emotion2embed, a supervised semantic-acoustic emotion embedding covering 48 emotional states, including fine-grained categories and intensity levels. To infer embeddings from free-form instructions, we design an Instruction-Conditioned Emotion Flow Model (ICE-Flow) that generates acoustically grounded emotion representations. The inferred embeddings are integrated into an LLM-based synthesis pipeline to provide explicit emotional control while preserving semantic planning. Experiments show improved emotional controllability and speech naturalness over strong baselines.","Minghui Wu(University of Science and Technology of China; iFLYTEK Research); Ganjun Liu(University of Science and Technology of China; iFLYTEK Research); Zikun Fang(University of Science and Technology of China); Ting Meng(iFLYTEK Research); Hongchuan Wu(iFLYTEK Research); Bingao Xu(iFLYTEK Research); Yonglong Cai(iFLYTEK Research); Jiasheng Chen(Huawei); Jun Du(University of Science and Technology of China)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 9 - Poster 5 - Efficient Inference for ASR and Speech LMs","","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","315","09:00-11:00","ZeroSyl: Simple Zero-Resource Syllable Tokenization for Spoken Language Modeling","Nicol Visser","Pure speech language models aim to learn language directly from raw audio without textual resources. A key challenge is that discrete tokens from self-supervised speech encoders result in excessively long sequences, motivating recent work on syllable-like units. However, methods like Sylber and SyllableLM rely on intricate multi-stage training pipelines. We propose ZeroSyl, a simple training-free method to extract syllable boundaries and embeddings directly from a frozen WavLM model. Using L2 norms of features in WavLM's intermediate layers, ZeroSyl achieves competitive syllable segmentation performance. The resulting segments are mean-pooled, discretized using K-means, and used to train a language model. ZeroSyl outperforms prior syllabic tokenizers across lexical, syntactic, and narrative benchmarks. Scaling experiments show that while finer-grained units are beneficial for lexical tasks, our discovered syllabic units exhibit better scaling behavior for syntactic modeling.","Nicol Visser(Stellenbosch University); Simon Malan(Stellenbosch University); Danel Slabbert(Stellenbosch University); Herman Kamper(Stellenbosch University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1010","09:00-11:00","Towards Data-free and Training-free Compression for Speech Foundation Models Using Parameter Clustering","Haoning Xu","This paper presents a novel data-free and training-free compression approach for speech foundation models using channel-wise clustering via k-means. More fine-grained, mixed sparsity pruning by layer-level varying number of parameter clusters is also explored. Experiments conducted on the LibriSpeech dataset suggest that when operating with pruning sparsity of 50% on HuBERT-large, consistent WER reductions of 27.73%/18.61% absolute (34.37%/21.91% relative) over the magnitude-based pruning were obtained on the test-clean and test-other subsets before fine-tuning and 0.19%/0.79% absolute (3.36%/4.62% relative) after fine-tuning with only 3 epochs. Similar WER reductions of 2.86%/5.02% absolute (59.21%/55.29% relative) were observed against magnitude-based pruning on Whisper-large-v3 at 10% sparsity, all with no significant WER increase relative to the uncompressed baseline.","Haoning Xu(The Chinese University of Hong Kong); Zhaoqing Li(The Chinese University of Hong Kong); Huimeng Wang(The Chinese University of Hong Kong); Youjun Chen(The Chinese University of Hong Kong); Chengxi Deng(The Chinese University of Hong Kong); Mengzhe Geng(National Research Council Canada); Xunying Liu(The Chinese University of Hong Kong)","","","","","","","","","","","","","","","","","","","",""
"Poster","1253","09:00-11:00","OnDA: On-device Channel Pruning for Efficient Personalized Keyword Spotting","Alessio Burello","Always-on keyword spotting (KWS) demands on-device adaptation to cope with user- and environment-specific distribution shifts under tight latency and energy budgets. This paper proposes, for the first time, coupling weight adaptation (i.e., on-device training) with architectural adaptation, in the form of online structured channel pruning, for personalized on-device KWS. Starting from a state-of-the-art self-learning personalized KWS pipeline, we compare data-agnostic and data-aware pruning criteria applied on in-field pseudo-labelled user data. On the HeySnips and HeySnapdragon datasets, we achieve up to 9.63× model-size compression with respect to unpruned baselines at iso-task performance, measured as the accuracy at 0.5 false alarms per hour. When deploying our adaptation pipeline on a Jetson Orin Nano embedded GPU, we achieve up to 1.52×/1.57× and 1.64×/1.77× latency and energy-consumption improvements during online training/inference compared to weights-only adaptation.","Matteo Risso(Politecnico di Torino); Alessio Burello(Politecnico di Torino); Daniele Jahier Pagliari(Politecnico di Torino)","","","","","","","","","","","","","","","","","","","",""
"Poster","1343","09:00-11:00","Sub-Model Short-Term Memory Convolutions for Keyword Spotting Systems on Device","Szymon Klimaszewski

","Keyword Spotting (KWS) is becoming increasingly important as voice-controlled devices grow more widespread. While voice interaction with smartphones and smart TVs is already common, deploying KWS on heavily resource-constrained edge devices such as wearables remains challenging. These systems must meet high accuracy requirements while operating under strict constraints on computational power, memory footprint, and real-time latency. In this work, we present an application of the STMC (Short-Term Memory Convolutions) framework to adapt a modular CNN model for online, LSTM-like inference. Our approach reduces power consumption and redundant computations while maintaining the stability and simplicity of training CNNs. We achieve up to 82% and 46% MCPS reduction compared to equivalently frequent standard CNN execution and vanilla STMC, respectively. The best configuration achieves 93.8% accuracy on the 11-class Google Speech Commands task and 97.1% on the same task with zero-padded data.","Paweł Warlewski(Samsung R&D Institute Poland); Artur Czeczko(Samsung R&D Institute Poland); Artur Szumaczuk(Samsung R&D Institute Poland); Grzegorz Stefański(Samsung AI Center Warsaw); Szymon Klimaszewski(Samsung R&D Institute Poland)","","","","","","","","","","","","","","","","","","","",""
"Poster","1244","09:00-11:00","An Efficient vLLM-Based Inference Pipeline for Unified Audio Understanding and Generation","Haoran Wang","While Large Multimodal Models excel in comprehension, high-throughput inference engines lack native support for multimodal generation. This is severe in Speech Language Models, where generating multi-layered audio tokens via decoupled AR+NAR or synchronous Multi-Token Prediction (MTP) with delay-pattern interleaving conflicts with standard single-stream loops. We present a vLLM-based inference pipeline for unified speech understanding and generation. We extend autoregressive decoding to natively execute delay-pattern de-interleaving and coordinated multi-stream sampling, integrating an on-GPU acoustic decoder for end-to-end waveform synthesis. Crucially, we overcome the shared intuition that Classifier-Free Guidance (CFG) halves throughput. By co-scheduling paired conditional and unconditional requests within a continuous batch, our CFG implementation sustains 80% of non-CFG throughput, absorbing dual-request and logit merging overheads. We open-source our framework1.","Haoran Wang(Shanghai Jiao Tong University; Carnegie Mellon University); Jinchuan Tian(Carnegie Mellon University); Siddhant Arora(Carnegie Mellon University); Shinji Watanabe(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1737","09:00-11:00","Audio-NSP: Data-Centric Semi-Autoregressive Generation for Large Audio-Language Models","Liang Cao","Large Audio-Language Models (LALMs) suffer from high latency due to the autoregressive decoding of long audio sequences. We propose Audio-NSP (Next Sequence Prediction), a framework that activates semi-autoregressive parallel generation in pre-trained LALMs solely through data-centric Supervised Fine-Tuning. By restructuring training sequences with blockwise attention, Audio-NSP enables simultaneous multi-token prediction without architectural modifications. Crucially, applying this to audio reveals a decoding dilemma caused by the entropy gap between deterministic text and highly variable audio tokens. To resolve this, we introduce a modality-aware dynamic truncation strategy. It applies strict thresholds for text and lenient thresholds for audio, preventing degeneration into single-step decoding while preserving fidelity. Experiments show Audio-NSP achieves speedups of up to 3.42x while significantly outperforming Multi-Token Prediction baselines in quality preservation.","Liang Cao(Tsinghua University); Xize Cheng(Zhejiang University); Dongjie Fu(Zhejiang University); Weihao Wu(Tsinghua University); Fuming You(Tencent); Zhiyong Wu(Tsinghua University); Haifeng Hu(Tencent)","","","","","","","","","","","","","","","","","","","",""
"Poster","3358","09:00-11:00","Improving streaming ASR with foundation models using emission policies","Gerard Mas Mollà","Speech Foundation Models (SFMs) have achieved state-of-the-art results in offline ASR, yet their application in streaming environments remains limited due to the performance degradation caused by restricted context. In this work, we propose a model-agnostic, training-free streaming pipeline designed to wrap around ASR models in a &quot;black box&quot; manner. Our approach integrates three key components: a sliding window audio buffer for incremental data ingestion, token-level timestamp management to eliminate redundant output, and text-only emission policies to govern output timing. We systematically evaluate several emission policies, assessing their impact on the latency-accuracy trade-off across three English datasets. Results show that our pipeline enables timestamp-producing SFMs like Parakeet and Canary to achieve near-offline transcription quality in real-time environments without requiring access to internal model tensors.","Gerard Mas Mollà(Universitat Politècnica de València); Albert Sanchis(Universitat Politècnica de València); Alfons Juan(Universitat Politècnica de València)","","","","","","","","","","","","","","","","","","","",""
"Poster","2753","09:00-11:00","AdaTS: Adaptive Token Sampling for Efficient Speech Language Models","Sonal Sannigrahi","Speech Language Models (SLMs) have demonstrated strong speech understanding capabilities by incorporating speech tokens into large LMs (LLMs). However, most designs are i) token-intensive, as a large part of the LLM context is allotted to speech tokens, and ii) inefficient, as speech tokens are often temporally redundant, hindering SLMs’ capabilities to handle long-form tasks. To address both issues, we propose AdaTS, a dynamic sampling method that adaptively merges tokens where the speech signal is less informative. Our approach reduces the length of the speech signal seen by the LLM by 2× or more, with performance often better than standard downsampling across automatic speech recognition (ASR), speech question-answering (SQA), and speech translation (ST). Through an extensive empirical analysis, we show how SLMs using AdaTS retain strong speech understanding capabilities, while substantially reducing token redundancy and inference cost by 40%.","Sonal Sannigrahi(Universidade de Lisboa; Instituto de Telecomunicações); Giuseppe Attanasio(Instituto de Telecomunicações); André F. T. Martins(Universidade de Lisboa; TransPerfect)","","","","","","","","","","","","","","","","","","","",""
"Poster","2561","09:00-11:00","Merging the Knowledge of LLMs for Automatic Speech Recognition","Hayato Futami","Automatic speech recognition (ASR) systems, trained on paired speech-text data, have been improved by leveraging language models (LMs) trained on text-only data. LM fusion methods such as shallow fusion and density ratio are well-established methods that incorporate external LMs during ASR decoding. However, they incur additional computational costs due to LM inference, which is particularly problematic for recent larger LMs. In this study, we propose incorporating external LMs via model merging. This method integrates the LMs directly into the parameters of an LLM-based ASR model, requiring no additional computational cost at inference. We formulate domain extension and transfer via arithmetic operations on LoRA parameters. Experimental evaluations were conducted for the domain adaptation of LLM-based ASR trained on CSJ and LibriSpeech. We show that our LM merging consistently improved the ASR performance in the target domains, without degrading inference speed or memory footprint.","Hayato Futami(Kyoto University); Tatsuya Kawahara(Kyoto University)","","","","","","","","","","","","","","","","","","","",""
"Poster","408","09:00-11:00","Scaling few-shot spoken word classification with generative meta-continual learning","Batsirayi Mupamhi Ziki","Few-shot spoken word classification has largely been developed for applications where a small number of classes is considered, and so the potential of larger-scale few-shot spoken word classification remains untapped. This paper investigates the potential of a spoken word classifier to sequentially learn to distinguish between 1 000 classes when it is given only five shots per class. We demonstrate that this scaling capability exists by training a model using the Generative Meta-Continual Learning (GeMCL) algorithm and comparing it to repeatedly trained or finetuned baselines. We find that GeMCL produces exceptionally stable performance, and although it does not always outperform a repeatedly fully-finetuned HuBERT model nor a frozen HuBERT model with a repeatedly trained classifier head, it produces comparable performance to the latter while adapting 2 000 times faster, having been trained on less than half of the data for two orders of magnitude less time.","Louise Beyers(Bytefuse); Batsirayi Mupamhi Ziki(Bytefuse); Ruan van der Merwe(Bytefuse)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 12 - Poster 2 - Audio Language Models: Reasoning, Reliability, and Multimodal Understanding","","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1025","09:00-11:00","Hearing the Order: Investigating Position Bias in Large Audio-Language Models","Yu-Xiang Lin","Large audio-language models (LALMs) are often used in tasks that involve reasoning over ordered options. An open question is whether their predictions are influenced by the order of answer choices, which would indicate a form of position bias and undermine their reliability. In this paper, we identify and analyze this problem in LALMs. We demonstrate that no model is immune to this bias through extensive experiments on six LALMs across three widely used benchmarks and their spoken counterparts. Shuffling the order of answer options can cause performance fluctuations of up to 24% and even change model rankings, raising concerns about the reliability of current evaluation practices. We also study permutation-based strategies and show that they can mitigate bias in most cases. Our work represents the first systematic investigation of this issue in LALMs, and we hope it raises awareness and motivates further research in this direction.","Yu-Xiang Lin(National Taiwan University); Chen-An Li(National Taiwan University); Sheng-Lun Wei(National Taiwan University); Po-Chun Chen(National Taiwan University); Hsin-Hsi Chen(National Taiwan University; NTU AI Research Center (AINTU)); Hung-yi Lee(National Taiwan University; NTU Artificial Intelligence Center of Research Excellence (NTU AI-CoRE))","","","","","","","","","","","","","","","","","","","",""
"Poster","554","09:00-11:00","Nudging Hidden States: Training-Free Model Steering for Chain-of-Thought Reasoning in Large Audio-Language Models","Chih-Kai Yang","Chain-of-thought (CoT) prompting has been extended to large audio-language models (LALMs) to elicit reasoning, yet enhancing its effectiveness without training remains challenging. We study inference-time model steering as a training-free approach to improve LALM reasoning. We introduce three strategies using diverse information sources and evaluate them across four LALMs and four benchmarks. Results show general accuracy gains up to 4.4% over CoT prompting. Notably, we identify a cross-modal transfer where steering vectors derived from few text samples effectively guide speech-based reasoning, demonstrating high data efficiency. We also examine hyperparameter sensitivity to understand the robustness of these approaches. Our findings position model steering as a practical direction for strengthening LALM reasoning.","Lok-Lam Ieong(National Taiwan University); Chia-Chien Chen(National Taiwan University); Chih-Kai Yang(National Taiwan University); Yu-Han Huang(National Taiwan University); An-Yu Cheng(National Taiwan University); Hung-yi Lee(National Taiwan University)","","","","","","","","","","","","","","","","","","","",""
"Poster","530","09:00-11:00","MUGEN: Evaluating and Improving Multi-audio Understanding of Large Audio-Language Models","Chih-Kai Yang","While multi-audio understanding is critical for large audio-language models (LALMs), it remains underexplored. We introduce MUGEN, a comprehensive benchmark evaluating this capability across speech, general audio, and music. Our experiments reveal consistent weaknesses in multi-audio settings, and performance degrades sharply as the number of concurrent audio inputs increases, identifying input scaling as a fundamental bottleneck. We further investigate training-free strategies and observe that Audio-Permutational Self-Consistency, which diversifies the order of audio candidates, helps models form more robust aggregated predictions, yielding up to 6.28% accuracy gains. Combining this permutation strategy with Chain-of-Thought further improves performance to 6.74%. These results expose blind spots in current LALMs and provide a foundation for evaluating complex auditory comprehension.","Chih-Kai Yang(National Taiwan University); Yun-Shao Tsai(National Taiwan University); Yu-Kai Guo(National Taiwan University); Ping-Le Tsai(National Taiwan University); Yen-Ting Piao(National Taiwan University); Hung-Wei Chen(National Taiwan University); Ting-Lin Hsiao(National Taiwan University); Yun-Man Hsu(National Taiwan University); Ke-Han Lu(National Taiwan University); Hung-yi Lee(NTU AI-CoRE)","","","","","","","","","","","","","","","","","","","",""
"Poster","3291","09:00-11:00","From Noisy Speech to Accurate APIs: LLM-driven Embedding Steering for Resilient Tool Retrieval","Rama Doddipatla","Embedding-based tool retrieval is challenging and often fails in real deployments because API descriptors are inconsistent to what the embedding models are originally trained with and often require fine-tuning or retraining from scratch. The challenge is further amplified in speech driven queries, where background noise can degrade automatic speech recognition (ASR) outputs. We present a training free offline method that leverages an LLM to generate diverse, user-style synthetic queries, tasks, and scenarios for each tool, and then average (or steer) the embeddings to form a semantically enriched tool representation. To evaluate the robustness, we simulate realistic speech conditions-including reverberation and additive noise prior to ASR- and present experiments using multiple embedding models and tool datasets. Our results show that the proposed method provides a simple yet effective way to enhance tool retrieval reliability without requiring any model retraining.","Catalin Zorilă(Toshiba Europe Ltd); Qingxiuxiong Dong(Toshiba Corporation); Rama Doddipatla(Toshiba Europe Ltd)","","","","","","","","","","","","","","","","","","","",""
"Poster","2154","09:00-11:00","A Reranker for Orchestrating Heterogeneous Speech and Text Retrievers","Inho Kim","Retrieval-Augmented Generation (RAG) systems have attracted significant interest for their ability to mitigate hallucinations in Large Language Models (LLMs). Although knowledge databases for RAG are increasingly diversifying to include various modalities such as speech and text, research on handling such multi-modal database scenarios remains limited. In this paper, we propose STEREO (Speech and Text Reranking Orchestrator), a reranker based on speech and text retrievers that aggregates disparate modality databases. To address the lack of specialized training data, we first curate a dataset comprising queries, mixed-modality evidence, and their corresponding relevance ranks. We then train the reranker and evaluate its effectiveness in both single-modality and mixed-modality scenarios. Our results demonstrate that the proposed algorithm excels at selecting the most relevant evidence, thereby significantly improving downstream question-answering performance.","Inho Kim(Korea Institute of Energy Technology); Sumyeong Ahn(Korea Institute of Energy Technology)","","","","","","","","","","","","","","","","","","","",""
